Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
15,AT-2022-270968,25/05/2025,26/05/2025,Standard Class,AT-10002,Sophie Gruber,Consumer,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,FUR-TA-40522010,Furniture,Tables,Lake Constance Table,1699.36
16,AT-2024-715488,30/09/2025,07/10/2025,Same Day,AT-10006,Lea Winkler,Home Office,Austria,Götzis,Vorarlberg,6840,Vorarlberg,FUR-CH-88076420,Furniture,Chairs,Alpine Comfort Chair,1793.87
17,AT-2020-703490,18/07/2025,24/07/2025,Second Class,AT-10000,Anna Müller,Consumer,Austria,Egg,Vorarlberg,6863,Vorarlberg,OFF-BI-40642949,Office Supplies,Binders,BinderPro 2026,1273.28
18,AT-2024-482310,26/11/2025,28/11/2025,Same Day,AT-10004,Laura Huber,Consumer,Austria,Götzis,Vorarlberg,6840,Vorarlberg,OFF-AP-51934073,Office Supplies,Appliances,Vorarlberg Desk Lamp,1174.97
19,AT-2017-693188,23/07/2025,27/07/2025,First Class,AT-10002,Sophie Gruber,Consumer,Austria,Bregenz,Vorarlberg,6900,Vorarlberg,TEC-LA-61335530,Technology,Laptops,MontafonBook Pro,125.42
20,AT-2021-512787,25/03/2025,31/03/2025,Same Day,AT-10000,Anna Müller,Consumer,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,FUR-BO-18651887,Furniture,Bookcases,Vorarlberg Oak Bookcase,1003.31
21,AT-2025-461610,26/10/2025,27/10/2025,Standard Class,AT-10005,Jonas Mayer,Consumer,Austria,Bezau,Vorarlberg,6870,Vorarlberg,OFF-AR-32183841,Office Supplies,Art,Montafon Art Set,903.24
22,AT-2016-444793,16/01/2025,22/01/2025,Standard Class,AT-10001,Lukas Hofer,Corporate,Austria,Götzis,Vorarlberg,6840,Vorarlberg,OFF-BI-90031643,Office Supplies,Binders,BinderPro 2026,91.55
23,AT-2022-113853,11/06/2025,13/06/2025,Standard Class,AT-10003,Maximilian Bauer,Home Office,Austria,Mittelberg,Vorarlberg,6993,Vorarlberg,TEC-AC-18616563,Technology,Accessories,Bregenzer Mouse,509.69
24,AT-2023-512654,10/08/2025,13/08/2025,First Class,AT-10003,Maximilian Bauer,Consumer,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,OFF-AP-68619271,Office Supplies,Appliances,Vorarlberg Desk Lamp,961.14
25,AT-2023-112473,06/07/2025,13/07/2025,Second Class,AT-10009,Felix Berger,Corporate,Austria,Schruns,Vorarlberg,6780,Vorarlberg,OFF-AP-94174910,Office Supplies,Appliances,Vorarlberg Desk Lamp,125.56
26,AT-2025-321481,26/04/2025,01/05/2025,Second Class,AT-10000,Anna Müller,Consumer,Austria,Mittelberg,Vorarlberg,6993,Vorarlberg,FUR-BO-79021905,Furniture,Bookcases,Vorarlberg Oak Bookcase,517.36
27,AT-2017-766853,16/02/2025,23/02/2025,First Class,AT-10007,Paul Steiner,Consumer,Austria,Bludenz,Vorarlberg,6700,Vorarlberg,OFF-LA-78391951,Office Supplies,Labels,Austrian Address Labels,959.13
28,AT-2025-832291,15/01/2025,21/01/2025,Second Class,AT-10009,Felix Berger,Home Office,Austria,Nenzing,Vorarlberg,6710,Vorarlberg,FUR-CH-74569604,Furniture,Chairs,Alpine Comfort Chair,1801.75
29,AT-2017-408856,03/11/2025,05/11/2025,First Class,AT-10006,Lea Winkler,Corporate,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,TEC-TA-17210766,Technology,Tablets,Bodensee Tab,397.11
30,AT-2022-977322,04/06/2025,05/06/2025,First Class,AT-10007,Paul Steiner,Corporate,Austria,Gaschurn,Vorarlberg,6793,Vorarlberg,FUR-BO-38046603,Furniture,Bookcases,Vorarlberg Oak Bookcase,1748.89
31,AT-2025-897191,24/09/2025,28/09/2025,Standard Class,AT-10004,Laura Huber,Consumer,Austria,Koblach,Vorarlberg,6842,Vorarlberg,OFF-AP-42575493,Office Supplies,Appliances,Vorarlberg Desk Lamp,422.62
32,AT-2019-325458,13/04/2025,18/04/2025,Second Class,AT-10009,Felix Berger,Home Office,Austria,Gaschurn,Vorarlberg,6793,Vorarlberg,OFF-AP-77460522,Office Supplies,Appliances,Vorarlberg Desk Lamp,1525.37
33,AT-2015-217399,08/06/2025,14/06/2025,Same Day,AT-10005,Jonas Mayer,Consumer,Austria,Wolfurt,Vorarlberg,6922,Vorarlberg,TEC-PH-76673618,Technology,Phones,AlpenPhone X1,263.07
34,AT-2015-560442,30/12/2025,01/01/2026,Standard Class,AT-10004,Laura Huber,Corporate,Austria,Schruns,Vorarlberg,6780,Vorarlberg,OFF-ST-63405714,Office Supplies,Storage,Vorarlberg Storage Box,865.8
35,AT-2022-414436,15/01/2025,19/01/2025,Same Day,AT-10006,Lea Winkler,Consumer,Austria,Bludenz,Vorarlberg,6700,Vorarlberg,TEC-AC-94738258,Technology,Accessories,Bregenzer Mouse,1853.21
36,AT-2017-761849,14/08/2025,16/08/2025,Second Class,AT-10009,Felix Berger,Corporate,Austria,Gais,Vorarlberg,6861,Vorarlberg,OFF-LA-41753231,Office Supplies,Labels,Austrian Address Labels,789.56
37,AT-2020-746613,03/04/2025,07/04/2025,Same Day,AT-10002,Sophie Gruber,Consumer,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,OFF-AR-62387377,Office Supplies,Art,Montafon Art Set,805.36
38,AT-2020-135669,16/05/2025,20/05/2025,Second Class,AT-10000,Anna Müller,Corporate,Austria,Egg,Vorarlberg,6863,Vorarlberg,TEC-AC-99522092,Technology,Accessories,Bregenzer Mouse,920.85
39,AT-2020-834130,21/07/2025,25/07/2025,Same Day,AT-10003,Maximilian Bauer,Consumer,Austria,Tschagguns,Vorarlberg,6774,Vorarlberg,OFF-LA-52063344,Office Supplies,Labels,Austrian Address Labels,1318.02
40,AT-2024-424879,22/06/2025,24/06/2025,Same Day,AT-10007,Paul Steiner,Corporate,Austria,Altach,Vorarlberg,6844,Vorarlberg,TEC-TA-81782971,Technology,Tablets,Bodensee Tab,970.57
41,AT-2023-114704,25/01/2025,30/01/2025,Standard Class,AT-10009,Felix Berger,Home Office,Austria,Satteins,Vorarlberg,6822,Vorarlberg,TEC-AC-84075688,Technology,Accessories,Bregenzer Mouse,1649.86
42,AT-2016-391268,22/11/2025,28/11/2025,Same Day,AT-10008,Mia Fuchs,Consumer,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,OFF-AP-75548079,Office Supplies,Appliances,Vorarlberg Desk Lamp,1764.55
43,AT-2018-440367,16/05/2025,20/05/2025,Same Day,AT-10003,Maximilian Bauer,Home Office,Austria,Schruns,Vorarlberg,6780,Vorarlberg,OFF-ST-91774854,Office Supplies,Storage,Vorarlberg Storage Box,104.83
44,AT-2024-113980,15/01/2025,20/01/2025,Same Day,AT-10005,Jonas Mayer,Corporate,Austria,Schruns,Vorarlberg,6780,Vorarlberg,TEC-LA-53278373,Technology,Laptops,MontafonBook Pro,253.01
45,AT-2016-257557,28/10/2025,03/11/2025,Standard Class,AT-10009,Felix Berger,Home Office,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,OFF-ST-71728982,Office Supplies,Storage,Vorarlberg Storage Box,1012.56
46,AT-2025-422355,29/12/2025,02/01/2026,Standard Class,AT-10005,Jonas Mayer,Corporate,Austria,Egg,Vorarlberg,6863,Vorarlberg,TEC-AC-95019022,Technology,Accessories,Bregenzer Mouse,1720.75
47,AT-2024-377410,21/01/2025,25/01/2025,First Class,AT-10008,Mia Fuchs,Consumer,Austria,Bezau,Vorarlberg,6870,Vorarlberg,OFF-AR-71791745,Office Supplies,Art,Montafon Art Set,757.64
48,AT-2019-781395,14/10/2025,18/10/2025,Standard Class,AT-10007,Paul Steiner,Consumer,Austria,Satteins,Vorarlberg,6822,Vorarlberg,OFF-AP-32839936,Office Supplies,Appliances,Vorarlberg Desk Lamp,1537.31
49,AT-2017-297169,30/11/2025,05/12/2025,Second Class,AT-10004,Laura Huber,Consumer,Austria,Gaschurn,Vorarlberg,6793,Vorarlberg,OFF-ST-92191204,Office Supplies,Storage,Vorarlberg Storage Box,988.22
50,AT-2025-195186,28/04/2025,01/05/2025,First Class,AT-10004,Laura Huber,Home Office,Austria,Rankweil,Vorarlberg,6830,Vorarlberg,OFF-LA-94320454,Office Supplies,Labels,Austrian Address Labels,350.52
51,AT-2022-814454,26/02/2025,05/03/2025,Second Class,AT-10003,Maximilian Bauer,Consumer,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,TEC-TA-86914638,Technology,Tablets,Bodensee Tab,684.61
52,AT-2025-533195,08/11/2025,13/11/2025,First Class,AT-10007,Paul Steiner,Corporate,Austria,Götzis,Vorarlberg,6840,Vorarlberg,OFF-LA-77835529,Office Supplies,Labels,Austrian Address Labels,779.43
53,AT-2023-410568,02/07/2025,04/07/2025,Standard Class,AT-10006,Lea Winkler,Corporate,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,FUR-CH-41316122,Furniture,Chairs,Alpine Comfort Chair,1699.98
54,AT-2017-264592,16/11/2025,18/11/2025,Second Class,AT-10000,Anna Müller,Consumer,Austria,Egg,Vorarlberg,6863,Vorarlberg,TEC-PH-53172558,Technology,Phones,AlpenPhone X1,372.61
55,AT-2023-988107,15/01/2025,22/01/2025,Second Class,AT-10009,Felix Berger,Home Office,Austria,Nenzing,Vorarlberg,6710,Vorarlberg,FUR-BO-87465030,Furniture,Bookcases,Vorarlberg Oak Bookcase,228.38
56,AT-2023-834557,25/12/2025,28/12/2025,Second Class,AT-10003,Maximilian Bauer,Home Office,Austria,Tschagguns,Vorarlberg,6774,Vorarlberg,OFF-LA-96499139,Office Supplies,Labels,Austrian Address Labels,1357.92
57,AT-2020-514162,12/01/2025,15/01/2025,Same Day,AT-10002,Sophie Gruber,Consumer,Austria,Hard,Vorarlberg,6971,Vorarlberg,TEC-TA-80260838,Technology,Tablets,Bodensee Tab,1476.68
58,AT-2020-466991,22/03/2025,28/03/2025,First Class,AT-10001,Lukas Hofer,Corporate,Austria,Nenzing,Vorarlberg,6710,Vorarlberg,FUR-CH-33043173,Furniture,Chairs,Alpine Comfort Chair,1311.31
59,AT-2016-341710,01/07/2025,05/07/2025,First Class,AT-10002,Sophie Gruber,Consumer,Austria,Gais,Vorarlberg,6861,Vorarlberg,FUR-TA-30828047,Furniture,Tables,Lake Constance Table,359.42
60,AT-2017-800992,14/11/2025,20/11/2025,Same Day,AT-10000,Anna Müller,Home Office,Austria,Gais,Vorarlberg,6861,Vorarlberg,TEC-AC-74452085,Technology,Accessories,Bregenzer Mouse,216.81
61,AT-2025-494425,07/09/2025,08/09/2025,Same Day,AT-10009,Felix Berger,Home Office,Austria,Lustenau,Vorarlberg,6890,Vorarlberg,TEC-TA-71851446,Technology,Tablets,Bodensee Tab,745.65
62,AT-2017-738401,04/04/2025,10/04/2025,Standard Class,AT-10002,Sophie Gruber,Consumer,Austria,Lustenau,Vorarlberg,6890,Vorarlberg,FUR-CH-41449669,Furniture,Chairs,Alpine Comfort Chair,848.48
63,AT-2024-852435,02/05/2025,08/05/2025,Same Day,AT-10001,Lukas Hofer,Consumer,Austria,Tschagguns,Vorarlberg,6774,Vorarlberg,OFF-PA-22698749,Office Supplies,Paper,Vorarlberg Copy Paper,1978.16
64,AT-2015-506396,01/02/2025,06/02/2025,First Class,AT-10008,Mia Fuchs,Home Office,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,FUR-CH-20504659,Furniture,Chairs,Alpine Comfort Chair,1015.16
65,AT-2019-385962,18/06/2025,21/06/2025,Standard Class,AT-10002,Sophie Gruber,Home Office,Austria,Bürs,Vorarlberg,6706,Vorarlberg,OFF-ST-61982164,Office Supplies,Storage,Vorarlberg Storage Box,332.36
66,AT-2021-234100,26/03/2025,27/03/2025,First Class,AT-10004,Laura Huber,Home Office,Austria,Andelsbuch,Vorarlberg,6866,Vorarlberg,OFF-AR-54798864,Office Supplies,Art,Montafon Art Set,836.87
67,AT-2023-565215,14/07/2025,15/07/2025,Second Class,AT-10008,Mia Fuchs,Corporate,Austria,Koblach,Vorarlberg,6842,Vorarlberg,FUR-BO-47571499,Furniture,Bookcases,Vorarlberg Oak Bookcase,1087.48
68,AT-2017-432530,08/07/2025,10/07/2025,Standard Class,AT-10003,Maximilian Bauer,Consumer,Austria,Götzis,Vorarlberg,6840,Vorarlberg,TEC-PH-37587427,Technology,Phones,AlpenPhone X1,475.12
69,AT-2018-425751,26/10/2025,01/11/2025,Standard Class,AT-10007,Paul Steiner,Home Office,Austria,Feldkirch,Vorarlberg,6800,Vorarlberg,OFF-BI-76952477,Office Supplies,Binders,BinderPro 2026,1485.47
70,AT-2016-651839,10/07/2025,15/07/2025,First Class,AT-10007,Paul Steiner,Home Office,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,TEC-AC-31544143,Technology,Accessories,Bregenzer Mouse,682.95
71,AT-2025-966499,22/02/2025,27/02/2025,First Class,AT-10000,Anna Müller,Home Office,Austria,Vandans,Vorarlberg,6773,Vorarlberg,OFF-ST-82279398,Office Supplies,Storage,Vorarlberg Storage Box,976.96
72,AT-2021-671897,09/01/2025,16/01/2025,First Class,AT-10002,Sophie Gruber,Home Office,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,FUR-TA-51395287,Furniture,Tables,Lake Constance Table,1546.59
73,AT-2015-759455,14/07/2025,18/07/2025,Same Day,AT-10001,Lukas Hofer,Corporate,Austria,Egg,Vorarlberg,6863,Vorarlberg,OFF-AR-24423159,Office Supplies,Art,Montafon Art Set,308.16
74,AT-2018-613710,16/08/2025,23/08/2025,Standard Class,AT-10007,Paul Steiner,Home Office,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,OFF-AP-76744998,Office Supplies,Appliances,Vorarlberg Desk Lamp,819.12
75,AT-2024-661676,20/09/2025,25/09/2025,Standard Class,AT-10004,Laura Huber,Consumer,Austria,Bezau,Vorarlberg,6870,Vorarlberg,OFF-PA-10410274,Office Supplies,Paper,Vorarlberg Copy Paper,975.9
76,AT-2017-767492,24/07/2025,26/07/2025,Same Day,AT-10000,Anna Müller,Home Office,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,TEC-TA-94842784,Technology,Tablets,Bodensee Tab,931.34
77,AT-2018-658485,09/06/2025,14/06/2025,First Class,AT-10009,Felix Berger,Corporate,Austria,Götzis,Vorarlberg,6840,Vorarlberg,OFF-AR-79664605,Office Supplies,Art,Montafon Art Set,398.88
78,AT-2015-520053,17/12/2025,19/12/2025,Second Class,AT-10001,Lukas Hofer,Corporate,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,TEC-LA-80310752,Technology,Laptops,MontafonBook Pro,1255.3
79,AT-2019-796895,18/08/2025,21/08/2025,Second Class,AT-10003,Maximilian Bauer,Corporate,Austria,Götzis,Vorarlberg,6840,Vorarlberg,TEC-TA-77194168,Technology,Tablets,Bodensee Tab,166.28
80,AT-2024-871142,01/04/2025,07/04/2025,Second Class,AT-10007,Paul Steiner,Corporate,Austria,Vandans,Vorarlberg,6773,Vorarlberg,OFF-AP-36520900,Office Supplies,Appliances,Vorarlberg Desk Lamp,1388.72
81,AT-2017-642420,09/08/2025,14/08/2025,Standard Class,AT-10000,Anna Müller,Consumer,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,OFF-ST-98629577,Office Supplies,Storage,Vorarlberg Storage Box,647.69
82,AT-2025-137963,04/09/2025,11/09/2025,First Class,AT-10001,Lukas Hofer,Consumer,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,TEC-AC-73963411,Technology,Accessories,Bregenzer Mouse,120.26
83,AT-2021-191269,01/01/2026,04/01/2026,Same Day,AT-10002,Sophie Gruber,Consumer,Austria,Rankweil,Vorarlberg,6830,Vorarlberg,TEC-PH-89211291,Technology,Phones,AlpenPhone X1,41.31
84,AT-2021-697262,27/05/2025,30/05/2025,First Class,AT-10007,Paul Steiner,Home Office,Austria,Bezau,Vorarlberg,6870,Vorarlberg,OFF-ST-28840494,Office Supplies,Storage,Vorarlberg Storage Box,1806.28
85,AT-2019-971714,29/11/2025,05/12/2025,Standard Class,AT-10009,Felix Berger,Corporate,Austria,Gaschurn,Vorarlberg,6793,Vorarlberg,TEC-PH-21790005,Technology,Phones,AlpenPhone X1,956.83
86,AT-2023-616633,14/04/2025,16/04/2025,Standard Class,AT-10007,Paul Steiner,Home Office,Austria,Bezau,Vorarlberg,6870,Vorarlberg,FUR-BO-76328041,Furniture,Bookcases,Vorarlberg Oak Bookcase,1282.65
87,AT-2021-411124,17/02/2025,24/02/2025,Same Day,AT-10008,Mia Fuchs,Consumer,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,TEC-PH-69394737,Technology,Phones,AlpenPhone X1,1618.65
88,AT-2019-784957,01/01/2026,07/01/2026,First Class,AT-10005,Jonas Mayer,Consumer,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,OFF-BI-69948947,Office Supplies,Binders,BinderPro 2026,1134.57
89,AT-2022-606905,30/09/2025,07/10/2025,Same Day,AT-10004,Laura Huber,Corporate,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,FUR-BO-86878670,Furniture,Bookcases,Vorarlberg Oak Bookcase,1791.64
90,AT-2024-231301,27/03/2025,28/03/2025,Second Class,AT-10004,Laura Huber,Consumer,Austria,Bezau,Vorarlberg,6870,Vorarlberg,OFF-LA-11744271,Office Supplies,Labels,Austrian Address Labels,665.24
91,AT-2025-104955,30/01/2025,04/02/2025,Standard Class,AT-10001,Lukas Hofer,Corporate,Austria,Hard,Vorarlberg,6971,Vorarlberg,OFF-ST-35410274,Office Supplies,Storage,Vorarlberg Storage Box,915.86
92,AT-2021-525720,20/04/2025,27/04/2025,Second Class,AT-10002,Sophie Gruber,Consumer,Austria,Bregenz,Vorarlberg,6900,Vorarlberg,OFF-LA-13343697,Office Supplies,Labels,Austrian Address Labels,1766.77
93,AT-2017-865081,09/03/2025,13/03/2025,First Class,AT-10005,Jonas Mayer,Consumer,Austria,Götzis,Vorarlberg,6840,Vorarlberg,FUR-TA-33835145,Furniture,Tables,Lake Constance Table,23.58
94,AT-2023-226676,03/07/2025,09/07/2025,Standard Class,AT-10003,Maximilian Bauer,Consumer,Austria,Bürs,Vorarlberg,6706,Vorarlberg,TEC-TA-55242879,Technology,Tablets,Bodensee Tab,1193.75
95,AT-2022-406594,08/01/2025,11/01/2025,Standard Class,AT-10005,Jonas Mayer,Corporate,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,TEC-TA-91753698,Technology,Tablets,Bodensee Tab,1545.49
96,AT-2020-930588,12/03/2025,19/03/2025,First Class,AT-10000,Anna Müller,Consumer,Austria,Bürs,Vorarlberg,6706,Vorarlberg,OFF-PA-15122622,Office Supplies,Paper,Vorarlberg Copy Paper,329.72
97,AT-2025-309595,31/10/2025,04/11/2025,Second Class,AT-10008,Mia Fuchs,Consumer,Austria,Lustenau,Vorarlberg,6890,Vorarlberg,OFF-AP-54147310,Office Supplies,Appliances,Vorarlberg Desk Lamp,1039.21
98,AT-2016-744777,26/01/2025,27/01/2025,Second Class,AT-10003,Maximilian Bauer,Corporate,Austria,Lustenau,Vorarlberg,6890,Vorarlberg,TEC-TA-65597606,Technology,Tablets,Bodensee Tab,1298.81
99,AT-2019-601513,12/11/2025,16/11/2025,Standard Class,AT-10003,Maximilian Bauer,Home Office,Austria,Tschagguns,Vorarlberg,6774,Vorarlberg,OFF-AR-54708567,Office Supplies,Art,Montafon Art Set,838.37
100,AT-2018-300174,10/06/2025,14/06/2025,First Class,AT-10009,Felix Berger,Home Office,Austria,Vandans,Vorarlberg,6773,Vorarlberg,OFF-ST-42585850,Office Supplies,Storage,Vorarlberg Storage Box,383.1
101,AT-2017-297527,29/05/2025,02/06/2025,Second Class,AT-10007,Paul Steiner,Consumer,Austria,Tschagguns,Vorarlberg,6774,Vorarlberg,OFF-ST-70413411,Office Supplies,Storage,Vorarlberg Storage Box,1513.68
102,AT-2022-974053,11/03/2025,15/03/2025,Second Class,AT-10007,Paul Steiner,Home Office,Austria,Bürs,Vorarlberg,6706,Vorarlberg,TEC-AC-39189002,Technology,Accessories,Bregenzer Mouse,1617.75
103,AT-2025-790820,21/08/2025,22/08/2025,First Class,AT-10003,Maximilian Bauer,Corporate,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,FUR-TA-73000790,Furniture,Tables,Lake Constance Table,1048.71
104,AT-2016-246832,20/01/2025,23/01/2025,Second Class,AT-10000,Anna Müller,Corporate,Austria,Andelsbuch,Vorarlberg,6866,Vorarlberg,TEC-AC-12467266,Technology,Accessories,Bregenzer Mouse,1410.42
105,AT-2020-927903,24/12/2025,25/12/2025,Second Class,AT-10008,Mia Fuchs,Corporate,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,FUR-BO-54483739,Furniture,Bookcases,Vorarlberg Oak Bookcase,555.76
106,AT-2024-400538,07/02/2025,11/02/2025,First Class,AT-10000,Anna Müller,Home Office,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,TEC-LA-53852121,Technology,Laptops,MontafonBook Pro,1601.25
107,AT-2017-800493,17/11/2025,18/11/2025,Standard Class,AT-10008,Mia Fuchs,Consumer,Austria,Rankweil,Vorarlberg,6830,Vorarlberg,FUR-CH-13743321,Furniture,Chairs,Alpine Comfort Chair,22.57
108,AT-2017-605106,18/05/2025,22/05/2025,Standard Class,AT-10004,Laura Huber,Consumer,Austria,Sulz,Vorarlberg,6832,Vorarlberg,OFF-PA-50774810,Office Supplies,Paper,Vorarlberg Copy Paper,179.38
109,AT-2021-391315,15/05/2025,22/05/2025,First Class,AT-10005,Jonas Mayer,Consumer,Austria,Götzis,Vorarlberg,6840,Vorarlberg,FUR-BO-38448787,Furniture,Bookcases,Vorarlberg Oak Bookcase,114.91
110,AT-2021-433569,28/01/2025,29/01/2025,Same Day,AT-10003,Maximilian Bauer,Consumer,Austria,Lauterach,Vorarlberg,6923,Vorarlberg,OFF-PA-42002650,Office Supplies,Paper,Vorarlberg Copy Paper,379.41
111,AT-2025-165430,29/07/2025,31/07/2025,Second Class,AT-10004,Laura Huber,Home Office,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,OFF-AR-17878806,Office Supplies,Art,Montafon Art Set,624.27
112,AT-2021-445195,19/05/2025,23/05/2025,Second Class,AT-10005,Jonas Mayer,Consumer,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,OFF-PA-51653707,Office Supplies,Paper,Vorarlberg Copy Paper,787.31
113,AT-2022-953849,27/06/2025,04/07/2025,Standard Class,AT-10008,Mia Fuchs,Corporate,Austria,Feldkirch,Vorarlberg,6800,Vorarlberg,OFF-BI-46986548,Office Supplies,Binders,BinderPro 2026,200.53
114,AT-2024-160070,07/02/2025,12/02/2025,First Class,AT-10001,Lukas Hofer,Home Office,Austria,Bürserberg,Vorarlberg,6707,Vorarlberg,TEC-PH-99153424,Technology,Phones,AlpenPhone X1,1938.95
115,AT-2023-786867,14/08/2025,16/08/2025,Same Day,AT-10002,Sophie Gruber,Corporate,Austria,Sulz,Vorarlberg,6832,Vorarlberg,FUR-BO-16724378,Furniture,Bookcases,Vorarlberg Oak Bookcase,1179.3
116,AT-2018-890065,30/11/2025,06/12/2025,Standard Class,AT-10008,Mia Fuchs,Corporate,Austria,Frastanz,Vorarlberg,6820,Vorarlberg,TEC-PH-78941930,Technology,Phones,AlpenPhone X1,1940.09
117,AT-2025-934453,09/04/2025,10/04/2025,First Class,AT-10000,Anna Müller,Corporate,Austria,Bürs,Vorarlberg,6706,Vorarlberg,TEC-LA-57980528,Technology,Laptops,MontafonBook Pro,1452.28
118,AT-2023-309257,18/06/2025,22/06/2025,Second Class,AT-10007,Paul Steiner,Consumer,Austria,Dornbirn,Vorarlberg,6850,Vorarlberg,OFF-AR-59999031,Office Supplies,Art,Montafon Art Set,1403.48
119,AT-2016-725796,22/01/2025,28/01/2025,First Class,AT-10005,Jonas Mayer,Consumer,Austria,Hard,Vorarlberg,6971,Vorarlberg,TEC-AC-45950447,Technology,Accessories,Bregenzer Mouse,1574.99
120,AT-2015-789175,01/02/2025,08/02/2025,First Class,AT-10004,Laura Huber,Corporate,Austria,Hohenems,Vorarlberg,6845,Vorarlberg,FUR-TA-63008678,Furniture,Tables,Lake Constance Table,715.08
